(1.00008, 9.012950838932884, 0.004863295774647826)
(2.000144, 9.489138788867512, 0.004863999999999902)
(3.000208, 9.489138788867512, 0.0048639999999998814)
(4.000272, 9.489138788867516, 0.0048639999999998814)
(5.000336, 9.489138788867512, 0.004864000000000002)
(6.000347, 1.6662414369691938, 0.008162819047619025)
(7.000459, 3.197273741278475, 0.0048942531017369855)
(8.000747, 3.172914325674205, 0.004900559999999978)
(9.000795, 3.1974783569763665, 0.0048942531017369326)
(10, 3.1974783569763665, 0.006496000000000279)
