(1.000099, 7.679903752028548, 0.004957738636363587)
(2.000163, 9.489138788867512, 0.004863999999999902)
(3.000227, 9.489138788867512, 0.004863999999999883)
(4.000291, 9.489138788867516, 0.0048639999999998814)
(5.000355, 9.489138788867512, 0.004863999999999999)
(6.0004, 2.261250782777275, 0.00597674736842105)
(7.000699, 2.8635236892294205, 0.005482340720221618)
(8.00072, 2.943663768998353, 0.00535178436657681)
(9.000992, 2.9746547610924807, 0.005492309333333348)
(10, 2.9746547610924807, 0.012309000000000125)
